,,
ACTINIDIA,ATICH,Actinidia chinesis PLANCH.
ACTINIDIA,ATIDE,Actinidia deliciosa (CHEV.) LIANG & FERG.
AGRUMI,CIDCL,Citrus clementina
AGRUMI,CIDGR,Citrus aurantium LINNAEUS var. grandis LINNAEUS
AGRUMI,CIDLI,Citrus limon (LINNAEUS) N.L.BURMAN
AGRUMI,CIDRA,Citrus reticulata BLANCO var. austera SWINGLE
ALBICOCCO,PRNAA,Prunus armeniaca L. var. ansu MAXIM.
CARCIOFO,CYUSC,Cynara scolymus L.
CASTAGNO,CSNSA,Castanea sativa MILL.
CILIEGIO,PRNAV,Prunus avium L. ssp./var. avium
FRAGOLA,FRASS,Fragaria L. spec.
MAIS,ZEAMX,Zea mays L.
MELANZANA,SOLME,Solanum melongena L.
MELO,MABSD,Malus domestica BORKHAUSEN
MELO,MABSS,Malus MILL. spec.
MELONE,CUMME,Cucumis melo L.
NOCCIOLO,CYLAV,Corylus avellana LINNAEUS
NOCE,IUGRE,Juglans regia L.
NOCE,IUGSS,Juglans sp.
OLIVO,OLVEU,Olea europaea L. ssp. europaea
OLIVO,OLVSS,Olea L spec.
PATATA,SOLTU,Solanum tuberosum L.
PEPERONE,CPSAN,Capsicum annuum L.
PERO,PYUCO,Pyrus communis L.
PESCO,PRNPN,Prunus persica BATSCH var. nucipersica (L.) SCHNEID.
PESCO,PRNPS,Prunus persica BATSCH
POMODORO,LYPES,Solanum lycopersicum L.
SUSINO,PRNDO,Prunus domestica L. ssp. domestica
TABACCO,NIOTA,Nicotiana tabacum L.
VITE,VITVI,Vitis vinifera L. ssp. vinifera
